iter	Passed	Remaining
221	297	1041
222	297	1037
223	298	1033
224	299	1030
225	299	1026
226	300	1022
227	300	1018
228	301	1014
229	301	1011
230	302	1007
231	303	1003
232	303	999
233	304	996
234	304	992
235	305	989
236	306	985
237	306	982
238	307	978
239	307	975
240	308	971
241	309	968
242	309	965
243	310	962
244	311	958
245	311	955
246	312	952
247	313	949
248	313	946
249	314	943
250	315	940
251	315	937
252	316	934
253	317	931
254	317	928
255	318	925
256	318	922
257	319	919
258	320	916
259	320	913
260	321	910
261	322	907
262	322	904
263	323	901
264	323	898
265	324	895
266	325	892
267	325	889
268	326	886
269	326	884
270	327	881
271	328	878
272	328	875
273	329	872
274	329	869
275	330	866
276	331	864
277	331	861
278	332	859
279	333	856
280	333	853
281	334	851
282	334	848
283	335	845
284	336	843
285	336	840
286	337	837
287	337	835
288	338	832
289	339	830
290	339	827
291	340	825
292	340	822
293	341	820
294	342	817
295	342	815
296	343	812
297	343	810
298	344	807
299	345	805
300	345	803
301	346	800
302	347	798
303	347	796
304	348	793
305	349	791
306	349	789
307	350	786
308	350	784
309	351	782
310	352	780
311	352	778
312	353	775
313	353	773
314	354	771
315	355	768
316	355	766
317	356	764
318	357	762
319	357	760
320	358	757
321	358	755
322	359	753
323	360	751
324	360	749
325	361	746
326	361	744
327	362	742
328	363	740
329	363	738
330	364	736
331	364	734
332	365	731
333	366	729
334	366	727
335	367	725
336	367	723
337	368	721
338	369	719
339	369	717
340	370	715
341	371	714
342	371	712
343	372	710
344	373	708
345	373	706
346	374	704
347	374	702
348	375	700
349	376	698
350	376	696
351	377	694
352	377	692
353	378	690
354	379	688
355	379	686
356	380	685
357	380	683
358	381	681
359	382	679
360	383	677
361	383	676
362	384	674
363	384	672
364	385	670
365	386	669
366	386	667
367	387	665
368	388	664
369	388	662
370	389	660
371	390	658
372	390	657
373	391	655
374	392	653
375	392	652
376	393	650
377	394	648
378	394	647
379	395	645
380	396	644
381	397	642
382	397	641
383	398	639
384	399	637
385	399	636
386	400	634
387	401	633
388	402	631
389	402	629
390	403	628
391	404	626
392	404	625
393	405	623
394	406	622
395	406	620
396	407	618
397	408	617
398	408	615
399	409	614
400	410	612
401	410	610
402	411	609
403	411	607
404	412	606
405	413	604
406	413	603
407	414	601
408	415	599
409	415	598
410	416	596
411	417	595
412	417	593
413	418	592
414	419	590
415	419	589
416	420	587
417	421	586
418	421	584
419	422	583
420	422	581
421	423	580
422	424	578
423	424	577
424	425	575
425	426	574
426	426	572
427	427	571
428	428	569
429	428	568
430	429	566
431	429	565
432	430	563
433	431	562
434	431	560
435	432	559
436	432	557
437	433	556
438	434	554
439	434	553
440	435	551
441	436	550
442	436	549
443	437	547
444	437	546
445	438	544
446	439	543
447	439	542
448	440	540
449	441	539
450	441	537
451	442	536
452	443	535
453	443	533
454	444	532
455	445	530
456	445	529
457	446	528
458	446	526
459	447	525
460	448	523
461	448	522
462	449	521
463	449	519
464	450	518
465	451	516
466	451	515
467	452	514
468	452	512
469	453	511
470	454	510
471	454	508
472	455	507
473	456	506
474	456	504
475	457	503
476	458	502
477	458	500
478	459	499
479	460	498
480	460	497
481	461	495
482	461	494
483	462	493
484	463	491
485	463	490
486	464	489
487	464	487
488	465	486
489	466	485
490	466	483
491	467	482
